commit	primary_metric	status	description
exp-086	0.665748	discard	hgb_rand_086 lr=0.03 iter=150 leaf=15 minleaf=30 l2=0.1 feat=0.5 bins=64
exp-087	0.648487	discard	hgb_rand_087 lr=0.08 iter=300 leaf=63 minleaf=20 l2=0.1 feat=1.0 bins=255
exp-088	0.664957	discard	hgb_rand_088 lr=0.02 iter=150 leaf=15 minleaf=50 l2=0.01 feat=0.7 bins=32
exp-089	0.663225	discard	hgb_rand_089 lr=0.03 iter=200 leaf=7 minleaf=20 l2=0.5 feat=1.0 bins=255
exp-090	0.655224	discard	hgb_rand_090 lr=0.05 iter=400 leaf=63 minleaf=5 l2=0.01 feat=0.7 bins=64
blend-001	0.668984	keep	hgb_rand_052@0.7 + hgb_fast_regularized@0.3
blend-002	0.669402	keep	hgb_rand_052@0.7 + hgb_rand_033@0.3
blend-003	0.668606	discard	hgb_rand_052@0.7 + hgb_rand_013@0.3
blend-004	0.668956	discard	hgb_rand_052@0.7 + hgb_rand_044@0.3
blend-005	0.667637	discard	hgb_fast_regularized@0.7 + hgb_rand_033@0.3
blend-006	0.667659	discard	hgb_fast_regularized@0.7 + hgb_rand_013@0.3
blend-007	0.667456	discard	hgb_fast_regularized@0.7 + hgb_rand_044@0.3
blend-008	0.667260	discard	hgb_rand_033@0.7 + hgb_rand_013@0.3
blend-009	0.667155	discard	hgb_rand_033@0.7 + hgb_rand_044@0.3
blend-010	0.666874	discard	hgb_rand_013@0.7 + hgb_rand_044@0.3
final-default	0.669402	keep	default train.py ensemble matching blend-002
